chr p0 p1 gene R2 Zscore.classic p.classic beta_alt se_alt p_alt n_used_snp n_snp
10 52559169 52645435 A1CF 0.000522574806712499 NA NA NA NA NA 0 346
10 124768495 124817827 ACADSB 0.00855886945349185 NA NA NA NA NA 0 538
10 15119522 15130775 ACBD7 0.00345090848970224 NA NA NA NA NA 0 469
10 127700950 128077024 ADAM12 0.000265295234747457 NA NA NA NA NA 0 570
10 75910960 76469061 ADK 0.00262652716866671 NA NA NA NA NA 0 188
10 4934796 5025475 AKR1C1 0.00140282827833106 NA NA NA NA NA 0 586
10 5077546 5149878 AKR1C3 0.0381505391113568 NA NA NA NA NA 0 595
10 5237425 5261139 AKR1C4 0.178910114844732 NA NA NA NA NA 0 633
10 92671853 92681033 ANKRD1 0.000643124147976647 NA NA NA NA NA 0 301
10 81910645 81965328 ANXA11 0.0159428435646911 NA NA NA NA NA 0 428
10 75134859 75173834 ANXA7 0.00474301453340462 NA NA NA NA NA 0 17
10 47955610 48279200 ANXA8 0.000684219216249748 NA NA NA NA NA 0 177
10 104433488 104474164 ARL3 0.0132110889288517 NA NA NA NA NA 0 133
10 18948334 18970568 ARL5B 0.00134511229217892 NA NA NA NA NA 0 346
10 104629273 104661656 AS3MT 0.00168302086939 NA NA NA NA NA 0 159
10 51942538 52008370 ASAH2 0.250803257676668 NA NA NA NA NA 0 164
10 73856278 73976892 ASCC1 0.000833695634919037 NA NA NA NA NA 0 327
10 89511269 89601100 ATAD1 0.000403754979882585 NA NA NA NA NA 0 300
10 121410882 121437331 BAG3 0.000518186787663554 NA NA NA NA NA 0 429
10 28966271 28971868 BAMBI 0.00134224105835907 NA NA NA NA NA 0 468
10 127512115 127542264 BCCIP 0.00121387390726416 NA NA NA NA NA 0 525
10 97951458 98031344 BLNK 0.000211407041748133 NA NA NA NA NA 0 359
10 133781578 133795435 BNIP3 0.00149608783743157 NA NA NA NA NA 0 609
10 73471458 73497581 C10orf105 0.00101691853792477 NA NA NA NA NA 0 438
10 71390007 71393352 C10orf35 0.00164810609827749 NA NA NA NA NA 0 534
10 73507316 73533255 C10orf54 0.0659466194747883 NA NA NA NA NA 0 436
10 135138927 135150475 CALY 0.00155090874728141 NA NA NA NA NA 0 346
10 12391481 12877545 CAMK1D 0.00163703688232664 NA NA NA NA NA 0 773
10 85954410 85979377 CDHR1 0.000764660357289031 NA NA NA NA NA 0 308
10 14861249 14880574 CDNF 0.0436017477757044 NA NA NA NA NA 0 507
10 11047259 11378674 CELF2 0.000373461050983423 NA NA NA NA NA 0 579
10 125767184 125853206 CHST15 0.0100815989488405 NA NA NA NA NA 0 574
10 73724123 73773322 CHST3 0.000623783917817534 NA NA NA NA NA 0 372
10 60028818 60049346 CISD1 0.000734350280814419 NA NA NA NA NA 0 273
10 71561644 71724031 COL13A1 0.000602093405082027 NA NA NA NA NA 0 607
10 101801950 101841634 CPN1 0.000880762616323721 NA NA NA NA NA 0 288
10 99624757 99790585 CRTAC1 0.0799494957118646 NA NA NA NA NA 0 356
10 43633934 43680756 CSGALNACT2 0.00446357277706229 NA NA NA NA NA 0 229
10 16865963 17171830 CUBN 0.00105038908718165 NA NA NA NA NA 0 445
10 101462315 101515891 CUTC 0.000639220172543585 NA NA NA NA NA 0 217
10 124591665 124639146 CUZD1 0.00051457024529642 NA NA NA NA NA 0 489
10 44793038 44881941 CXCL12 0.00907324105159811 NA NA NA NA NA 0 297
10 74033678 74035794 DDIT4 0.000285766370008722 NA NA NA NA NA 0 303
10 54074056 54077802 DKK1 0.0526809279454101 NA NA NA NA NA 0 68
10 124320181 124403252 DMBT1 0.00131157491039025 NA NA NA NA NA 0 490
10 74092588 74114988 DNAJB12 0.0024883079937892 NA NA NA NA NA 0 15
10 50572237 50603497 DRGX 0.000418434730739852 NA NA NA NA NA 0 304
10 76854192 76868979 DUSP13 0.012077400542168 NA NA NA NA NA 0 195
10 135175984 135187193 ECHS1 0.00191422096137734 NA NA NA NA NA 0 343
