chr p0 p1 gene R2 Zscore.classic p.classic beta_alt se_alt p_alt n_used_snp n_snp
5 5140443 5320417 ADAMTS16 0.0282376114227021 NA NA NA NA NA 0 140
5 78073032 78281910 ARSB 0.0533416018944137 NA NA NA NA NA 0 380
5 151121877 151152093 ATOX1 0.00374718118175737 NA NA NA NA NA 0 286
5 43376747 43412493 CCL28 0.00315642959335207 NA NA NA NA NA 0 157
5 10250033 10266524 CCT5 0.00201812895656636 NA NA NA NA NA 0 537
5 140011313 140013286 CD14 0.0335224457407345 NA NA NA NA NA 0 15
5 149781200 149792492 CD74 0.00155582611792864 NA NA NA NA NA 0 406
5 31193857 31329253 CDH6 0.20653322872475 NA NA NA NA NA 0 43
5 175969512 176022975 CDHR2 0.0124440680257032 NA NA NA NA NA 0 300
5 76248538 76276983 CRHBP 0.12972899220088 NA NA NA NA NA 0 139
5 134906373 134914969 CXCL14 0.00581597329093389 NA NA NA NA NA 0 299
5 39371780 39462402 DAB2 0.00123300294991026 NA NA NA NA NA 0 290
5 83236373 83680611 EDIL3 0.00597917581773902 NA NA NA NA NA 0 394
5 65178956 65378374 ERBIN 0.000645850311147639 NA NA NA NA NA 0 302
5 54273692 54318499 ESM1 0.0289852813250183 NA NA NA NA NA 0 76
5 76011868 76031606 F2R 0.0111162175688221 NA NA NA NA NA 0 436
5 159614374 159665742 FABP6 0.00704685945533938 NA NA NA NA NA 0 72
5 180028506 180076624 FLT4 0.0302874578534025 NA NA NA NA NA 0 15
5 52776239 52782964 FST 0.015769670626883 NA NA NA NA NA 0 318
5 39105354 39274630 FYB1 0.00171332184886261 NA NA NA NA NA 0 311
5 153570290 153800544 GALNT10 0.0875449001099592 NA NA NA NA NA 0 114
5 37812779 37839788 GDNF 0.0445680357768712 NA NA NA NA NA 0 30
5 137588068 137610360 GFRA3 0.00555297392285913 NA NA NA NA NA 0 169
5 95087023 95158709 GLRX 0.183763798907446 NA NA NA NA NA 0 15
5 54398476 54406080 GZMA 0.00498385043798422 NA NA NA NA NA 0 96
5 140052620 140071122 HARS1 0.00048507099981067 NA NA NA NA NA 0 191
5 156456424 156486130 HAVCR1 0.133325784455167 NA NA NA NA NA 0 44
5 156512843 156569880 HAVCR2 0.0079160230138659 NA NA NA NA NA 0 255
5 139712428 139726216 HBEGF 0.00257685373543718 NA NA NA NA NA 0 172
5 158741791 158757895 IL12B 0.105285136860936 NA NA NA NA NA 0 79
5 131991955 131996802 IL13 0.000274648160339603 NA NA NA NA NA 0 262
5 132009678 132018368 IL4 0.000626962758760779 NA NA NA NA NA 0 129
5 131877136 131892530 IL5 0.000628984027948871 NA NA NA NA NA 0 238
5 55230923 55290821 IL6ST 0.0186015181857426 NA NA NA NA NA 0 18
5 35852797 35879705 IL7R 0.2508323810284 NA NA NA NA NA 0 15
5 75699074 76003957 IQGAP2 0.00949589268495633 NA NA NA NA NA 0 59
5 38475065 38608456 LIFR 0.0251643288217737 NA NA NA NA NA 0 52
5 179660143 179719099 MAPK9 0.00765956028617376 NA NA NA NA NA 0 497
5 126626523 126801429 MEGF10 0.117078213414135 NA NA NA NA NA 0 16
5 153418466 153600038 MFAP3 0.000317116968780282 NA NA NA NA NA 0 355
5 138723169 138725770 MZB1 0.00506283707288325 NA NA NA NA NA 0 36
5 1801514 1816719 NDUFS6 0.00152201115114826 NA NA NA NA NA 0 696
5 170814120 170838141 NPM1 0.00266747623938363 NA NA NA NA NA 0 463
5 38845960 38945698 OSMR 0.177008048805657 NA NA NA NA NA 0 168
5 102089685 102366809 PAM 0.176038569722358 NA NA NA NA NA 0 207
5 141232938 141258811 PCDH1 0.00547237902950296 NA NA NA NA NA 0 394
5 271736 353971 PDCD6 0.540167524516496 NA NA NA NA NA 0 15
5 149493400 149535435 PDGFRB 0.528130349325559 NA NA NA NA NA 0 42
5 176910395 176924607 PDLIM7 0.00114413267511046 NA NA NA NA NA 0 382
5 86563705 86687748 RASA1 0.000588812446715806 NA NA NA NA NA 0 181
5 98104354 98134347 RGMB 0.0221840636477703 NA NA NA NA NA 0 23
5 147250245 147261754 SCGB3A2 0.0309090200002117 NA NA NA NA NA 0 144
5 135468534 135524435 SMAD5 0.000651550240585965 NA NA NA NA NA 0 337
5 151040657 151066726 SPARC 0.00355481081910595 NA NA NA NA NA 0 15
5 147204131 147211349 SPINK1 0.0723354442404517 NA NA NA NA NA 0 82
5 147405246 147516852 SPINK5 0.0932747245772788 NA NA NA NA NA 0 15
5 147582357 147594700 SPINK6 0.0590904281594393 NA NA NA NA NA 0 198
5 136310987 136934068 SPOCK1 0.0126012784770116 NA NA NA NA NA 0 239
5 172741716 172756506 STC2 0.00788231722360287 NA NA NA NA NA 0 462
5 135364584 135399507 TGFBI 0.12637380909956 NA NA NA NA NA 0 41
5 79287134 79379110 THBS4 0.045085219381865 NA NA NA NA NA 0 151
5 156346293 156390266 TIMD4 0.032689336969658 NA NA NA NA NA 0 15
5 118604387 118735383 TNFAIP8 0.00450216852274606 NA NA NA NA NA 0 33
5 110405760 110413722 TSLP 0.000598850737335689 NA NA NA NA NA 0 249
5 134209493 134237215 TXNDC15 0.272726894152936 NA NA NA NA NA 0 15
5 82767284 82878122 VCAN 0.199858759540041 NA NA NA NA NA 0 92
5 82373317 82649606 XRCC4 0.00116861260962977 NA NA NA NA NA 0 31
