chr p0 p1 gene R2 Zscore.classic p.classic beta_alt se_alt p_alt n_used_snp n_snp
2 207308263 207485851 ADAM23 0.28553050662025 NA NA NA NA NA 0 202
2 241807896 241819919 AGXT 0.0351240176948733 NA NA NA NA NA 0 15
2 233243244 233247599 ALPP 0.145235283372802 NA NA NA NA NA 0 16
2 69871557 70053596 ANXA4 0.00213199529448351 NA NA NA NA NA 0 322
2 68906733 69053965 ARHGAP25 0.00661075095020197 NA NA NA NA NA 0 371
2 175936978 176033110 ATF2 0.00105780778481441 NA NA NA NA NA 0 280
2 111876955 111926024 BCL2L11 0.000599512564731117 NA NA NA NA NA 0 226
2 85621871 85645555 CAPG 0.290024403737087 NA NA NA NA NA 0 112
2 202047604 202094129 CASP10 0.0180305150527393 NA NA NA NA NA 0 53
2 202098166 202152434 CASP8 0.0253198687650389 NA NA NA NA NA 0 16
2 228678558 228682272 CCL20 0.00358375292767814 NA NA NA NA NA 0 385
2 71057347 71062953 CD207 0.12933405882734 NA NA NA NA NA 0 27
2 204571198 204603635 CD28 0.018163733576113 NA NA NA NA NA 0 19
2 160625364 160654753 CD302 0.0401060567729319 NA NA NA NA NA 0 25
2 87011729 87035519 CD8A 0.0422300034781159 NA NA NA NA NA 0 15
2 131350339 131357123 CFC1 0.000758617537299335 NA NA NA NA NA 0 221
2 27321757 27341995 CGREF1 0.15625119278361 NA NA NA NA NA 0 42
2 53994929 54002333 CHAC2 0.0122749500600043 NA NA NA NA NA 0 72
2 238232646 238323018 COL6A3 0.00682387742684284 NA NA NA NA NA 0 408
2 98262503 98264846 COX5B 0.000596482481682419 NA NA NA NA NA 0 124
2 36583069 36784311 CRIM1 0.0173108486220457 NA NA NA NA NA 0 169
2 136663451 136743670 DARS1 0.00119211843772901 NA NA NA NA NA 0 129
2 120124497 120130126 DBI 0.0427028205587672 NA NA NA NA NA 0 19
2 74588281 74619214 DCTN1 0.000893126988962038 NA NA NA NA NA 0 305
2 230222345 230579274 DNER 0.0686312374469535 NA NA NA NA NA 0 64
2 115199876 116603328 DPP10 0.0572130262033643 NA NA NA NA NA 0 317
2 162848751 162931052 DPP4 0.0261903880604334 NA NA NA NA NA 0 16
2 32092878 32264881 DPY30 0.00292714637859929 NA NA NA NA NA 0 265
2 109510927 109605828 EDAR 0.0811278348084229 NA NA NA NA NA 0 17
2 56093102 56151274 EFEMP1 0.0223336856521886 NA NA NA NA NA 0 15
2 47572297 47614740 EPCAM 0.00103218923901923 NA NA NA NA NA 0 415
2 212240446 213403565 ERBB4 0.0409869200642566 NA NA NA NA NA 0 445
2 88422510 88427635 FABP1 0.0186603075926213 NA NA NA NA NA 0 16
2 163027194 163101661 FAP 0.0223273730696571 NA NA NA NA NA 0 17
2 24272571 24286551 FKBP1B 0.0268483375433751 NA NA NA NA NA 0 40
2 179328391 179343327 FKBP7 0.00275047074935369 NA NA NA NA NA 0 180
2 183698002 183731890 FRZB 0.16856248062148 NA NA NA NA NA 0 20
2 166604101 166651192 GALNT3 0.0806039947173584 NA NA NA NA NA 0 16
2 162999392 163008914 GCG 0.00105554726239135 NA NA NA NA NA 0 173
2 69201705 69208106 GKN1 0.00168460677667057 NA NA NA NA NA 0 296
2 85912298 85925977 GNLY 0.172301422685909 NA NA NA NA NA 0 15
2 241375088 241407493 GPC1 0.0707314650850078 NA NA NA NA NA 0 242
2 75061108 75120486 HK2 0.000807304857513398 NA NA NA NA NA 0 363
2 138721590 138773930 HNMT 0.173114047924142 NA NA NA NA NA 0 67
2 10443015 10567743 HPCAL1 0.0166307191503956 NA NA NA NA NA 0 31
2 128994290 129076151 HS6ST1 0.0361634814418933 NA NA NA NA NA 0 287
2 74756504 74760472 HTRA2 0.000920870806538502 NA NA NA NA NA 0 347
2 217497551 217529159 IGFBP2 0.00288860242877906 NA NA NA NA NA 0 424
2 213864429 214017151 IKZF2 0.00046017039094642 NA NA NA NA NA 0 265
2 102927989 103015218 IL18R1 0.282933482114081 NA NA NA NA NA 0 20
2 103035149 103069025 IL18RAP 0.000833391924200648 NA NA NA NA NA 0 241
2 113531492 113542167 IL1A 0.00144467408676501 NA NA NA NA NA 0 243
2 113587328 113594480 IL1B 0.0012669244354111 NA NA NA NA NA 0 240
2 102681004 102796334 IL1R1 0.026691538401526 NA NA NA NA NA 0 16
2 102608306 102645006 IL1R2 0.104676935135245 NA NA NA NA NA 0 54
2 102927962 102968497 IL1RL1 0.304172625182753 NA NA NA NA NA 0 22
2 102803433 102856462 IL1RL2 0.107406456664622 NA NA NA NA NA 0 191
2 113864791 113891593 IL1RN 0.0359857386258242 NA NA NA NA NA 0 95
2 239079042 239112370 ILKAP 0.00107609750312327 NA NA NA NA NA 0 461
2 191208196 191236391 INPP1 0.00349345364150643 NA NA NA NA NA 0 221
2 173292082 173371181 ITGA6 0.0295224150090022 NA NA NA NA NA 0 298
2 187454792 187545628 ITGAV 0.0152702278759612 NA NA NA NA NA 0 15
2 9543604 9563676 ITGB1BP1 0.00118280544238567 NA NA NA NA NA 0 496
2 160956177 161128399 ITGB6 0.0656963143332028 NA NA NA NA NA 0 15
2 143635067 143799890 KYNU 0.0371613400222289 NA NA NA NA NA 0 74
2 160628362 160761260 LY75 0.39841938662012 NA NA NA NA NA 0 87
2 133402426 133429152 LYPD1 0.000784209887515937 NA NA NA NA NA 0 305
2 119699742 119752236 MARCO 0.0417800096204755 NA NA NA NA NA 0 102
2 20191872 20212455 MATN3 0.166786226848894 NA NA NA NA NA 0 398
2 47129009 47168994 MCFD2 0.00956860633591626 NA NA NA NA NA 0 70
2 112656056 112787138 MERTK 0.0314260616245514 NA NA NA NA NA 0 15
2 172864490 172947158 METAP1D 0.00226717196226559 NA NA NA NA NA 0 314
2 99777890 99797521 MITD1 0.00283803705909629 NA NA NA NA NA 0 166
2 190920423 190927455 MSTN 0.00320723696338611 NA NA NA NA NA 0 193
2 106361354 106510730 NCK2 0.00133377151433475 NA NA NA NA NA 0 407
2 232786530 232791113 NPPC 0.00453405734177947 NA NA NA NA NA 0 333
2 206546714 206662857 NRP2 0.0400788769435683 NA NA NA NA NA 0 71
2 242792033 242801060 PDCD1 0.030760176372191 NA NA NA NA NA 0 26
2 55861400 55921045 PNPT1 0.000679717281379169 NA NA NA NA NA 0 287
2 68405989 68483369 PPP3R1 0.000554216866947982 NA NA NA NA NA 0 409
2 27353624 27357543 PREB 0.000409488641417134 NA NA NA NA NA 0 184
2 179296141 179316239 PRKRA 0.000674184117638148 NA NA NA NA NA 0 233
2 128176003 128186822 PROC 0.0218596405992504 NA NA NA NA NA 0 327
2 37571717 37600465 QPCT 0.0538379316801455 NA NA NA NA NA 0 15
2 28004231 28113965 RBKS 0.0593463004644064 NA NA NA NA NA 0 15
2 79347488 79350545 REG1A 0.0578670406422995 NA NA NA NA NA 0 16
2 79312156 79315145 REG1B 0.0695373490191614 NA NA NA NA NA 0 42
2 79384132 79386879 REG3A 0.0318115546875135 NA NA NA NA NA 0 211
2 10262455 10271545 RRM2 0.00239914043670363 NA NA NA NA NA 0 564
2 224461658 224467221 SCG2 0.00207672679488931 NA NA NA NA NA 0 327
2 238969530 239008054 SCLY 0.0207884075522992 NA NA NA NA NA 0 15
2 20400558 20425194 SDC1 0.0113549801276476 NA NA NA NA NA 0 15
2 97525453 97536494 SEMA4C 0.000752622650399779 NA NA NA NA NA 0 79
2 179966419 180129517 SESTD1 0.00537851006580091 NA NA NA NA NA 0 343
2 170648443 170668574 SSB 0.00102810110078066 NA NA NA NA NA 0 410
2 74056086 74100786 STAMBP 0.00188281562409454 NA NA NA NA NA 0 252
2 161993419 162092732 TANK 0.00144821847127466 NA NA NA NA NA 0 207
2 188328957 188430487 TFPI 0.0594331829729083 NA NA NA NA NA 0 53
2 70674412 70781325 TGFA 0.00810673757823663 NA NA NA NA NA 0 50
2 70436576 70475792 TIA1 0.000830350410535714 NA NA NA NA NA 0 302
2 85132749 85133795 TMSB10 0.0020228705530295 NA NA NA NA NA 0 288
2 106709759 106810795 UXS1 0.0058149989314469 NA NA NA NA NA 0 73
2 85811531 85820535 VAMP5 0.00472458513415046 NA NA NA NA NA 0 281
