chr p0 p1 gene R2 Zscore.classic p.classic beta_alt se_alt p_alt n_used_snp n_snp
2 211052663 211090215 ACADL 0.00287135638093083 NA NA NA NA NA 0 109
2 264140 278283 ACP1 0.397271055955997 NA NA NA NA NA 0 15
2 148602086 148688393 ACVR2A 0.00180978135456982 NA NA NA NA NA 0 111
2 54197975 54532437 ACYP2 0.0957655868884519 NA NA NA NA NA 0 17
2 9628615 9695921 ADAM17 0.00389040617542438 NA NA NA NA NA 0 221
2 207308263 207485851 ADAM23 0.244501262435686 NA NA NA NA NA 0 23
2 3501132 3523507 ADI1 0.00333799592586241 NA NA NA NA NA 0 324
2 228336868 228425930 AGFG1 0.0707566620728386 NA NA NA NA NA 0 15
2 29415640 30144432 ALK 0.0015068700422139 NA NA NA NA NA 0 192
2 233320833 233324742 ALPI 0.00185363822926434 NA NA NA NA NA 0 157
2 233243244 233247599 ALPP 0.0817588600989909 NA NA NA NA NA 0 163
2 233271553 233275424 ALPPL2 0.0624021392243135 NA NA NA NA NA 0 160
2 128619204 128643496 AMMECR1L 0.00109606504096333 NA NA NA NA NA 0 136
2 69240310 69476459 ANTXR1 0.00725205443954626 NA NA NA NA NA 0 172
2 69871557 70053596 ANXA4 0.0760719323338842 NA NA NA NA NA 0 17
2 21224301 21266945 APOB 0.012179082824518 NA NA NA NA NA 0 193
2 68906733 69053965 ARHGAP25 0.0584512979532095 NA NA NA NA NA 0 17
2 152645498 152685006 ARL5A 0.00316180280663029 NA NA NA NA NA 0 110
2 9346894 9545812 ASAP2 0.00207480307566992 NA NA NA NA NA 0 145
2 220378892 220403494 ASIC4 0.00197753541081323 NA NA NA NA NA 0 197
2 96789589 96804175 ASTL 0.00167783276932901 NA NA NA NA NA 0 42
2 242576628 242613272 ATG4B 0.00151174039900622 NA NA NA NA NA 0 105
2 168675182 168730551 B3GALT1 0.00609443742864349 NA NA NA NA NA 0 187
2 62423248 62451866 B3GNT2 0.0556190115497161 NA NA NA NA NA 0 30
2 215590370 215674428 BARD1 0.00409384440549151 NA NA NA NA NA 0 144
2 111876955 111926024 BCL2L11 0.00268803373919364 NA NA NA NA NA 0 144
2 127805603 127864931 BIN1 0.0219225123160506 NA NA NA NA NA 0 208
2 69092613 69098649 BMP10 0.00450329172639812 NA NA NA NA NA 0 175
2 203241659 203432474 BMPR2 0.00135141811587293 NA NA NA NA NA 0 127
2 74362525 74375121 BOLA3 0.00970349336404598 NA NA NA NA NA 0 102
2 111395275 111435691 BUB1 0.000841425469733458 NA NA NA NA NA 0 91
2 68268262 68338080 C1D 0.000395086737058821 NA NA NA NA NA 0 215
2 119913819 119916465 C1QL2 0.00584019758765108 NA NA NA NA NA 0 234
2 106679702 106694615 C2orf40 0.0015538088061615 NA NA NA NA NA 0 220
2 197669726 197675000 C2orf66 0.00277790485177162 NA NA NA NA NA 0 115
2 231577560 231685790 CAB39 0.0216143784372913 NA NA NA NA NA 0 19
2 152689290 152955593 CACNB4 0.00403319107450766 NA NA NA NA NA 0 98
2 85621871 85645555 CAPG 0.098301693851534 NA NA NA NA NA 0 16
2 202047604 202094129 CASP10 0.00143610005373276 NA NA NA NA NA 0 113
2 202098166 202152434 CASP8 0.0024309154971377 NA NA NA NA NA 0 77
2 228678558 228682272 CCL20 0.0044971197628111 NA NA NA NA NA 0 236
2 73460548 73480149 CCT7 0.0013549156706986 NA NA NA NA NA 0 79
2 71057347 71062953 CD207 0.00432234136766309 NA NA NA NA NA 0 219
2 87011729 87035519 CD8A 0.0844267762929275 NA NA NA NA NA 0 15
2 87042462 87089047 CD8B 0.00422736047704739 NA NA NA NA NA 0 65
2 131350339 131357123 CFC1 0.00110150293021188 NA NA NA NA NA 0 80
2 27321757 27341995 CGREF1 0.00343848234662288 NA NA NA NA NA 0 104
2 68511303 68547183 CNRIP1 0.20815086989805 NA NA NA NA NA 0 30
2 124782864 125672864 CNTNAP5 0.0020151648690167 NA NA NA NA NA 0 135
2 189839046 189877472 COL3A1 0.0055481042333627 NA NA NA NA NA 0 85
2 238232646 238323018 COL6A3 0.0345940952634386 NA NA NA NA NA 0 204
2 3642426 3692048 COLEC11 0.133854919192251 NA NA NA NA NA 0 25
2 62115859 62374382 COMMD1 0.00409946436798702 NA NA NA NA NA 0 123
2 232646381 232673963 COPS7B 0.00232657198958152 NA NA NA NA NA 0 162
2 98262503 98264846 COX5B 0.001740619338509 NA NA NA NA NA 0 49
2 42560686 42652228 COX7A2L 0.000778300948189047 NA NA NA NA NA 0 153
2 36583069 36784311 CRIM1 0.00285346953894828 NA NA NA NA NA 0 257
2 46843555 46852881 CRIPT 0.0021419199702175 NA NA NA NA NA 0 310
2 208986331 208989225 CRYGD 0.00207377300259166 NA NA NA NA NA 0 179
2 204732509 204738683 CTLA4 0.00237304482517947 NA NA NA NA NA 0 187
2 79412357 80875905 CTNNA2 0.00155596618416919 NA NA NA NA NA 0 238
2 225334867 225450110 CUL3 0.00380796357528804 NA NA NA NA NA 0 143
2 158271131 158345473 CYTIP 0.00177994349996888 NA NA NA NA NA 0 119
2 136664247 136743670 DARS 0.033472456287081 NA NA NA NA NA 0 16
2 120124497 120130126 DBI 0.112128738201831 NA NA NA NA NA 0 15
2 220283099 220291461 DES 0.00295202415670009 NA NA NA NA NA 0 173
2 169921299 169952677 DHRS9 0.00175677482551742 NA NA NA NA NA 0 247
2 220143989 220151622 DNAJB2 0.0021053305668491 NA NA NA NA NA 0 147
2 183580999 183659191 DNAJC10 0.0259047533109108 NA NA NA NA NA 0 139
2 25166505 25194963 DNAJC27 0.0024171214009864 NA NA NA NA NA 0 104
2 230222345 230579274 DNER 0.06648926584668 NA NA NA NA NA 0 214
2 74776153 74784681 DOK1 0.00759149463742677 NA NA NA NA NA 0 165
2 115199876 116603328 DPP10 0.00256164832486024 NA NA NA NA NA 0 169
2 162848751 162931052 DPP4 0.00962694632718721 NA NA NA NA NA 0 93
2 32092878 32264881 DPY30 0.0214709769896125 NA NA NA NA NA 0 15
2 27070615 27173219 DPYSL5 0.00375090817608533 NA NA NA NA NA 0 140
2 242615157 242626406 DTYMK 0.049149718172938 NA NA NA NA NA 0 27
2 241499471 241503431 DUSP28 0.081178669063414 NA NA NA NA NA 0 16
2 233344537 233352538 ECEL1 0.00225661632833709 NA NA NA NA NA 0 158
2 109510927 109605828 EDAR 0.0838930344903395 NA NA NA NA NA 0 15
2 207024309 207027652 EEF1B2 0.0030856875768776 NA NA NA NA NA 0 208
2 56093102 56151274 EFEMP1 0.0744498413303441 NA NA NA NA NA 0 174
2 233470767 233547491 EFHD1 0.00554596204291484 NA NA NA NA NA 0 197
2 62900986 63273622 EHBP1 0.00189208905743166 NA NA NA NA NA 0 121
2 233414762 233448354 EIF4E2 0.00197126052818829 NA NA NA NA NA 0 180
2 222282747 222438922 EPHA4 0.0804517163837092 NA NA NA NA NA 0 121
2 212240446 213403565 ERBB4 0.00182089734792759 NA NA NA NA NA 0 209
2 54014181 54045956 ERLEC1 0.0190913741134341 NA NA NA NA NA 0 154
2 88422510 88427635 FABP1 0.030655903087325 NA NA NA NA NA 0 16
2 279558 288851 FAM150B 0.00188266388829204 NA NA NA NA NA 0 132
2 187558698 187630685 FAM171B 0.024317139660433 NA NA NA NA NA 0 66
2 58386378 58468507 FANCL 0.0013608959743614 NA NA NA NA NA 0 95
2 163027194 163101661 FAP 0.0330839600499049 NA NA NA NA NA 0 15
2 219845809 219850379 FEV 0.00186374036064102 NA NA NA NA NA 0 96
2 24272571 24286551 FKBP1B 0.160634247169376 NA NA NA NA NA 0 41
2 179328391 179343327 FKBP7 0.153387756366796 NA NA NA NA NA 0 15
2 216225163 216300895 FN1 0.0319859027510419 NA NA NA NA NA 0 16
2 27714750 27718112 FNDC4 0.000855238520102743 NA NA NA NA NA 0 71
2 183698002 183731890 FRZB 0.167729184697285 NA NA NA NA NA 0 15
2 171669723 171717661 GAD1 0.0037714233760115 NA NA NA NA NA 0 210
2 154728426 155310361 GALNT13 0.0107658595588003 NA NA NA NA NA 0 121
2 166604101 166651192 GALNT3 0.00692559765779938 NA NA NA NA NA 0 102
2 163175350 163228105 GCA 0.0639050970555674 NA NA NA NA NA 0 17
2 162999392 163008914 GCG 0.00195619760195099 NA NA NA NA NA 0 105
2 27719709 27746554 GCKR 0.0207954711422347 NA NA NA NA NA 0 67
2 20866424 20873418 GDF7 0.00737007129659624 NA NA NA NA NA 0 259
2 69201705 69208106 GKN1 0.000638073860270974 NA NA NA NA NA 0 180
2 69172364 69180102 GKN2 0.103005816405234 NA NA NA NA NA 0 15
2 85912298 85925977 GNLY 0.202881952127797 NA NA NA NA NA 0 17
2 241375088 241407493 GPC1 0.12268424691767 NA NA NA NA NA 0 16
2 27851114 27874375 GPN1 0.0024844451943808 NA NA NA NA NA 0 69
2 165349322 165478358 GRB14 0.00353200778548225 NA NA NA NA NA 0 112
2 189156396 189460653 GULP1 0.00186784803798856 NA NA NA NA NA 0 66
2 42994229 43019733 HAAO 0.00216676070258167 NA NA NA NA NA 0 191
2 172778958 172848599 HAT1 0.00173958198317295 NA NA NA NA NA 0 175
2 242166679 242256476 HDLBP 0.00344693272599909 NA NA NA NA NA 0 170
2 191054461 191208919 HIBCH 0.267280224346914 NA NA NA NA NA 0 15
2 75061108 75120486 HK2 0.0178338883808429 NA NA NA NA NA 0 16
2 10443015 10567743 HPCAL1 0.0117462651797479 NA NA NA NA NA 0 323
